;,MissionX Default map
WorldInfo,63450,0.2
SlidingSprite,1250,images/level1.png,-1.5
SpeedChanger,1230,0.9
Enemy1,1400,300,20
Enemy2,1600,400,55
Enemy3,1900,300,55
Enemy4,2200,300,40
Enemy5,2500,0,25
Enemy5,2500,640,25
Enemy5,2700,0,25
Enemy5,2700,640,25
Enemy5,2900,0,25
Enemy5,2900,640,25
Enemy5,3100,0,25
Enemy5,3100,640,25
Enemy6,3300,640,30
Enemy7,3500,0,30
Enemy6,3700,640,30
Enemy7,3700,0,30
Enemy1,3900,300,30
Enemy2,3950,400,55
Enemy3,4000,500,55
Enemy4,4050,600,30
Enemy1,4300,300,30
Enemy4,4450,600,40
SpeedChanger,4700,1.5
Enemy5,4600,0,25
Enemy5,4600,640,25
Enemy5,4800,0,25
Enemy5,4800,640,25
Enemy5,5000,0,25
Enemy5,5000,640,25
Enemy5,5300,0,25
Enemy5,5300,640,25
Enemy5,5500,0,25
Enemy5,5500,640,25
Enemy5,5700,0,25
Enemy5,5700,640,25
Enemy5,5900,0,25
Enemy5,5900,640,25
Enemy5,6100,0,25
Enemy5,6100,640,25
SpeedChanger,6500,0.6
Enemy5,6500,0,25
Enemy5,6500,128,25
Enemy5,6500,256,25
Enemy5,6500,384,25
Enemy5,6500,512,25
Enemy5,6500,640,25
Enemy6,6628,640,30
Enemy7,6728,0,30
Enemy6,6728,640,30
Enemy7,6828,0,30
Enemy5,6900,0,25
Enemy5,6920,128,25
Enemy5,6920,256,25
Enemy5,6920,384,25
Enemy5,6920,512,25
Enemy5,6920,640,25
Enemy1,7100,300,30
Enemy2,7150,400,55
Enemy3,7200,500,55
Enemy4,7250,600,30
Enemy1,7500,600,30
Enemy2,7550,500,55
Enemy3,7600,400,55
Enemy4,7650,300,30
Enemy6,7728,640,30
Enemy7,7728,0,30
Enemy6,7828,640,30
Enemy7,7828,0,30
Enemy1,8000,200,30
Enemy1,8100,400,30
Enemy1,8200,600,30
Enemy2,8500,200,55
Enemy2,8600,400,55
Enemy2,8700,600,55
Enemy3,8800,200,30
Enemy3,8900,400,30
Enemy3,9000,600,30
Enemy5,9220,0,25
Enemy5,9220,128,25
Enemy5,9220,256,25
Enemy5,9220,384,25
Enemy5,9220,512,25
Enemy5,9220,640,25
Enemy5,9520,0,25
Enemy5,9520,128,25
Enemy5,9520,256,25
Enemy5,9520,384,25
Enemy5,9520,512,25
Enemy5,9520,640,25
Enemy6,9650,640,30
Enemy7,9778,0,30
Enemy6,9850,640,30
Enemy7,9978,0,30
SpeedChanger,10100,2
Enemy5,10100,0,25
Enemy5,10100,640,25
Enemy1,11000,200,30
Enemy1,11100,400,30
Enemy1,11200,600,30
Enemy2,11500,500,55
Enemy5,11600,0,25
Enemy5,11600,640,25
Enemy5,11728,0,25
Enemy5,11728,640,25
Enemy5,11856,0,25
Enemy5,11856,640,25
SpeedChanger,12000,1
Enemy1,11615,300,30
Enemy2,11715,400,30
Enemy3,11900,300,30
Enemy3,11900,500,30
Enemy6,11984,640,30
Enemy7,12112,0,30
Enemy6,12240,640,30
Enemy7,12240,0,30
Enemy4,12368,200,40
Enemy4,12368,450,40
SpeedChanger,12900,2
Enemy5,12600,0,25
Enemy5,12600,640,25
Enemy5,12728,0,25
Enemy5,12728,640,25
Enemy5,12856,0,25
Enemy5,12856,640,25
Enemy5,12984,0,25
Enemy5,12984,640,25
Enemy5,13112,0,25
Enemy5,13112,640,25
Enemy5,13240,0,25
Enemy5,13240,640,25
Enemy5,13368,0,25
Enemy5,13368,640,25
SpeedChanger,14000,1
Enemy1,13600,0,30
Enemy2,13700,256,55
Enemy3,13800,512,55
Enemy4,14000,300,40
Enemy1,14200,0,30
Enemy2,14400,256,55
Enemy3,14600,512,55
Enemy4,14800,300,40
Enemy5,15100,0,25
Enemy5,14900,128,25
Enemy5,14900,256,25
Enemy5,14900,384,25
Enemy5,14900,512,25
Enemy5,14900,640,25
Boss1,15300,300,1000
MusicChanger,15300,music/boss.mp3,130000
AsteroidField,15600,0,16384,768,4
SlidingSprite,15450,images/level2.png,-1.5
MusicChanger,15350,music/level2.mp3,220000
SpeedChanger,15350,0.9
Enemy1,16000,0,20
Enemy1,16020,128,20
Enemy1,16050,576,20
Enemy1,16060,512,20
Enemy2,16200,0,55
Enemy2,16250,128,55
Enemy2,16250,256,55
Enemy2,16200,384,55
Enemy4,16500,384,40
Enemy3,16700,256,55
Enemy3,16700,512,55
AsteroidField,16700,0,18000,768,10
Enemy5,17000,0,25
Enemy5,17000,128,25
Enemy5,17000,256,25
Enemy5,17000,384,25
Enemy5,17000,512,25
Enemy5,17000,640,25
Enemy6,17150,640,30
Enemy7,17150,0,30
Enemy6,17250,256,30
Enemy7,17250,384,30
Enemy5,17300,0,25
Enemy6,17390,256,30
Enemy7,17390,384,30
Enemy6,17425,640,30
Enemy7,17425,0,30
Enemy5,17480,0,30
Enemy5,17480,640,30
Enemy5,17608,0,30
Enemy5,17608,640,30
Enemy5,17736,0,30
Enemy5,17736,640,30
Enemy5,17864,0,30
Enemy5,17864,640,30
Enemy2,17500,300,55
Enemy2,17600,400,55
Enemy3,17700,400,55
Enemy4,17750,300,40
Enemy4,17800,300,40
Enemy4,17850,300,40
Enemy1,17920,0,30
Enemy1,17920,128,20
Enemy1,17920,256,20
Enemy1,18000,640,20
Enemy1,18000,512,20
Enemy1,18000,384,20
Enemy5,18180,128,25
Enemy5,18308,256,25
Enemy5,18436,0,25
Enemy5,18436,128,25
Enemy5,18436,256,25
Enemy5,18436,384,25
Enemy5,18436,512,25
Enemy5,18436,640,25
MOV,ia,18436
MOV,ib,19000
MOV,ic,48
ScriptFromFile,EWScripts/autoGen1.txt
Enemy1,19000,0,30
Enemy2,19128,128,55
Enemy3,19256,256,55
Enemy3,19384,384,55
Enemy3,19512,512,55
Enemy4,19580,384,40
Enemy5,19620,0,25
Enemy5,19620,128,25
Enemy5,19620,256,25
Enemy5,19620,384,25
Enemy5,19620,512,25
Enemy5,19620,640,25
Enemy6,19700,256,30
Enemy7,19700,384,30
Enemy6,19780,256,30
Enemy7,19780,384,30
Enemy6,19820,640,30
Enemy7,19820,0,30
Enemy6,19820,256,30
Enemy7,19820,384,30
Enemy5,19900,0,25
Enemy5,19900,128,25
Enemy5,19900,256,25
Enemy5,19900,384,25
Enemy5,19900,512,25
Enemy5,19900,640,25
MOV,ia,19980
MOV,ib,22000
MOV,ic,64
ScriptFromFile,EWScripts/autoGen1.txt
Enemy2,22100,200,55
Enemy2,22130,256,55
Enemy3,22150,384,55
Enemy1,22250,0,20
Enemy1,22250,256,20
Enemy1,22250,512,20
Enemy4,22300,0,40
Enemy4,22300,256,40
Enemy4,22300,512,40
Enemy5,22400,0,25
Enemy5,22528,128,25
Enemy5,22400,256,25
Enemy5,22528,384,25
Enemy5,22400,512,25
Enemy5,22528,640,25
Enemy7,22600,384,30
Enemy6,22600,256,30
Enemy6,22728,640,30
Enemy5,23000,0,25
Enemy5,22872,64,25
Enemy5,23000,128,25
Enemy5,22872,192,25
Enemy5,23000,256,25
Enemy5,22872,320,25
Enemy5,23000,384,25
Enemy5,22872,448,25
Enemy5,23000,512,25
Enemy5,22872,576,25
Enemy5,23000,640,25
MOV,ia,23100
MOV,ib,29500
MOV,ic,64
ScriptFromFile,EWScripts/autoGen1.txt
MOV,ic,160
ScriptFromFile,EWScripts/autoGen2.txt
MusicChanger,30000,music/boss.mp3,130000
Boss2,30000,300,2500
SlidingSprite,30050,images/level3.png,-1.5
AsteroidField,30100,0,31000,768,7
MusicChanger,30050,music/level3.mp3,133000
Enemy5,30712,512,25
Enemy5,30840,640,25
Enemy5,30968,256,25
Enemy5,31096,256,25
Enemy5,30968,384,25
Enemy5,31096,384,25
Enemy5,31032,320,50
Enemy7,30840,384,30
Enemy6,30840,256,30
Enemy7,31224,384,30
Enemy6,31224,256,30
Enemy1,30500,256,20
Enemy1,30500,384,20
Enemy1,30500,512,20
MOV,ia,31400
MOV,ib,43000
MOV,ic,64
ScriptFromFile,EWScripts/autoGen1.txt
Enemy5,31628,0,25
Enemy5,31628,128,25
Enemy5,31628,256,25
Enemy5,31628,384,25
Enemy5,31628,512,25
Enemy5,31628,640,25
Enemy5,31500,64,25
Enemy5,31500,192,25
Enemy5,31500,320,25
Enemy5,31500,448,25
Enemy5,31500,576,25
Enemy5,31756,64,25
Enemy5,31756,192,25
Enemy5,31756,320,25
Enemy5,31756,448,25
Enemy5,31756,576,25
Enemy7,32012,256,30
Enemy6,32012,128,30
Enemy7,32140,512,30
Enemy6,32140,384,30
Enemy7,32268,256,30
Enemy6,32268,128,30
Enemy7,32396,512,30
Enemy6,32396,384,30
Enemy7,32524,0,30
Enemy6,32524,640,30
Enemy7,32652,0,30
Enemy6,32652,640,30
MOV,ia,32720
MOV,ib,43500
MOV,ic,128
ScriptFromFile,EWScripts/autoGen3.txt
Enemy1,34000,0,15
Enemy1,34000,128,15
Enemy1,34000,256,15
Enemy1,34500,384,15
Enemy1,34500,512,15
Enemy1,34500,640,15
Enemy2,34000,0,30
Enemy3,35000,128,40
Enemy2,35000,256,30
Enemy3,35000,384,40
Enemy2,35000,512,30
Enemy3,35000,640,40
Enemy2,34000,0,30
Enemy3,36000,128,40
Enemy4,36000,256,35
Enemy3,36500,384,40
Enemy4,36500,512,35
Enemy3,36500,640,40
Boss1,37000,384,1000
Script,for(int i=0;i<=640;i+=96) new mygame.logic.enemy.Enemy1((float)37050,(float)i,25).setKamikaze(true);
AsteroidField,38200,200,40000,400,10
Enemy5,38500,0,25
Enemy5,38500,128,25
Enemy5,38500,256,25
Enemy5,38500,384,25
Enemy5,38500,512,25
Enemy5,38500,640,25
Enemy5,38372,64,25
Enemy5,38372,192,25
Enemy5,38372,320,25
Enemy5,38372,448,25
Enemy5,38372,576,25
Enemy5,38628,64,25
Enemy5,38628,192,25
Enemy5,38628,320,25
Enemy5,38628,448,25
Enemy5,38628,576,25
Enemy5,39000,0,25
Enemy5,39000,128,25
Enemy5,39000,256,25
Enemy5,39000,384,25
Enemy5,39000,512,25
Enemy5,39000,640,25
Enemy5,38372,64,25
Enemy5,38872,192,25
Enemy5,38872,320,25
Enemy5,38872,448,25
Enemy5,38872,576,25
Enemy5,39128,64,25
Enemy5,39128,192,25
Enemy5,39128,320,25
Enemy5,39128,448,25
Enemy5,39128,576,25
Script,for(int i=0;i<=640;i+=128) new mygame.logic.enemy.Enemy3((float)41000,(float)i,40).setKamikaze(true);
MOV,ia,43800
MOV,ib,44000
MOV,ic,32
ScriptFromFile,EWScripts/autoGen1.txt
MOV,ic,64
ScriptFromFile,EWScripts/autoGen3.txt
MusicChanger,44600,music/boss.mp3,130000
Boss3,44600,512,4000
MusicChanger,44650,music/level4.mp3,184000
ScriptOnScreenEnter,44550,EWScripts/incDifficulty.txt
SlidingSprite,45000,images/level4.png,-1.5
AsteroidField,45100,0,47000,768,10
Script,for(int i=0;i<=30;i++) new mygame.logic.enemy.Enemy2((float)i*96+45200f,(float)0,25).setKamikaze(true);
Script,for(int i=0;i<=30;i++) new mygame.logic.enemy.Enemy2((float)i*96+45200f,(float)640,25).setKamikaze(true);
MOV,ia,46000
MOV,ib,52506
MOV,ic,64
ScriptFromFile,EWScripts/autoGen1.txt
MOV,ia,47998
MOV,ib,52500
MOV,ic,64
ScriptFromFile,EWScripts/autoGen1.txt
Boss4,53000,100,12000
MOV,ia,53600
MOV,ib,59000
MOV,ic,128
ScriptFromFile,EWScripts/autoGen2.txt
MOV,ic,64
ScriptFromFile,EWScripts/autoGen3.txt
Script,for(int i=0;i<=20;i++) new mygame.logic.enemy.Enemy3((float)i*96+53200f,(float)0,25).setKamikaze(true);
Script,for(int i=0;i<=20;i++) new mygame.logic.enemy.Enemy3((float)i*96+53200f,(float)640,25).setKamikaze(true);
MusicChanger,59600,music/boss.mp3,130000
Script,new mygame.logic.enemy.Macron(59500,100,200000);
SpeedChanger,60320,0.7
MusicChanger,60300,music/credits.mp3,99999999
SlidingSprite,60450,images/credits/fsTeam.png,-0.8
SlidingSprite,60950,images/credits/dosse.png,-0.6
SlidingSprite,61350,images/credits/paggi.png,-1
SlidingSprite,61550,images/credits/poli.png,-0.6
SlidingSprite,61950,images/credits/gritti.png,-0.9
SlidingSprite,62350,images/credits/gabry.png,-0.6
ParallaxSprite,1180,256,images/backgrounds/moon.png,0,0.6,false,1100,256
ParallaxSprite,1024,-256,images/backgrounds/sun.png,0,0.95,false,1024,0
BackgroundSprite,0,-16,images/backgrounds/1.png,false,true
BackgroundSprite,2048,-200,images/backgrounds/2.bmp,true,false
BackgroundSprite,4096,-16,images/backgrounds/3.bmp,true,true
BackgroundSprite,6144,-16,images/backgrounds/4.png,false,true
BackgroundSprite,8192,-16,images/backgrounds/5.bmp,true,true
BackgroundSprite,10240,-16,images/backgrounds/6.png,false,true
BackgroundSprite,12288,-16,images/backgrounds/7.png,false,true
ParallaxSprite,15000,-128,images/backgrounds/sun2.png,0,0.95,false,15000,0
BackgroundSprite,14336,-16,images/backgrounds/8.bmp,true,true
BackgroundSprite,18432,-16,images/backgrounds/9.bmp,true,false
BackgroundSprite,20480,-16,images/backgrounds/10.bmp,true,false
BackgroundSprite,22528,-16,images/backgrounds/11.bmp,true,false
BackgroundSprite,24576,-16,images/backgrounds/2.bmp,true,true
BackgroundSprite,26624,-16,images/backgrounds/9.bmp,true,true
BackgroundSprite,28672,-16,images/backgrounds/10.bmp,true,true
BackgroundSprite,30720,-16,images/backgrounds/11.bmp,true,true
BackgroundSprite,32768,-16,images/backgrounds/12.bmp,true,true
BackgroundSprite,34816,-16,images/backgrounds/13.bmp,true,false
BackgroundSprite,36864,-16,images/backgrounds/13.bmp,true,false
BackgroundSprite,38912,-16,images/backgrounds/13.bmp,true,true
BackgroundSprite,40960,-16,images/backgrounds/14.bmp,true,true
BackgroundSprite,43700,0,images/backgrounds/BlackHole.bmp,true
ParallaxSprite,43200,256,images/backgrounds/sun.png,1,0.5,false,43300,0
ParallaxSprite,43400,256,images/backgrounds/planet.png,6,0.03,false,43300,256
BackgroundSprite,44900,-16,images/backgrounds/15.bmp,true,true
BackgroundSprite,46948,-16,images/backgrounds/16.bmp,true,false
BackgroundSprite,48996,-16,images/backgrounds/16.bmp,true,true
BackgroundSprite,51044,-16,images/backgrounds/17.bmp,true,true
BackgroundSprite,53092,-16,images/backgrounds/18.bmp,true,true
BackgroundSprite,55140,-16,images/backgrounds/19.bmp,true,true
BackgroundSprite,57188,-16,images/backgrounds/20.bmp,true,true
ParallaxSprite,57000,-128,images/backgrounds/sun3.png,0,0.95,false,57000,0
ParallaxStars,1,0,768,1
CommTrigger,1060,story_1.png,comm1.mp3,3100
CommTrigger,1100,story_2.png,comm1.mp3,3100
CommTrigger,1150,story_3.png,comm1.mp3,2200
CommTrigger,1170,tut1_%GP%.png,comm1.mp3,2200
CommTrigger,1200,tut2_%GP%.png,comm1.mp3,2500
CommTrigger,15000,story_4.png,comm1.mp3,2200
CommTrigger,15150,story_5.png,comm1.mp3,2200
CommTrigger,15400,story_6.png,comm1.mp3,2200
CommTrigger,15550,story_7.png,comm1.mp3,2200
CommTrigger,29600,story_8.png,comm1.mp3,2200
CommTrigger,30020,story_9.png,comm1.mp3,2200
CommTrigger,30139,story_10.png,comm1.mp3,2200
CommTrigger,30258,story_11.png,comm1.mp3,2200
CommTrigger,44888,story_12.png,comm1.mp3,3300
CommTrigger,45086,story_13.png,comm1.mp3,1000
CommTrigger,59388,story_14.png,comm1.mp3,3000
CommTrigger,60200,story_15.png,comm1.mp3,2000
CommTrigger,60350,story_16.png,comm1.mp3,2000
CommTrigger,63000,endGame.png,comm1.mp3,15000
MusicChanger,512,music/level1.mp3,207000

